TimeStamp,SimulationTime,AvgWaitingTime,StdWaitingTime,AvgTrafficWaitingTime,AvgEmergencyWaitingTime,AvgTrafficLen,AvgPedestrianWaitingTime
01/07/2023 20:11:42,0,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 20:11:42,5,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 20:11:42,10,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 20:11:42,15,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 20:11:42,20,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 20:11:42,25,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 20:11:42,30,0.0,0.00,0.00,0.0,0.46,0.00
01/07/2023 20:11:42,35,0.0,0.00,0.00,0.0,0.46,0.00
01/07/2023 20:11:42,40,7.5,9.47,7.50,0.0,0.46,0.00
01/07/2023 20:11:42,45,7.5,9.47,7.50,0.0,0.46,0.00
01/07/2023 20:11:42,50,7.5,9.47,7.50,0.0,0.46,0.00
01/07/2023 20:11:42,55,7.5,9.47,7.50,0.0,0.46,0.00
01/07/2023 20:11:42,60,7.5,9.47,7.50,0.0,0.69,0.00
01/07/2023 20:11:42,65,7.5,9.47,7.50,0.0,0.69,0.00
01/07/2023 20:11:42,70,17.3,16.20,26.36,0.0,0.69,0.00
01/07/2023 20:11:42,75,15.3,16.21,23.43,0.0,0.69,0.00
01/07/2023 20:11:42,80,13.8,16.05,21.09,0.0,0.69,0.00
01/07/2023 20:11:42,85,12.5,15.81,19.17,0.0,0.69,0.00
01/07/2023 20:11:42,90,12.5,15.81,19.17,0.0,0.88,29.50
01/07/2023 20:11:42,95,23.5,29.54,29.12,0.0,0.88,29.50
01/07/2023 20:11:42,100,29.9,31.96,48.95,0.0,0.88,14.75
01/07/2023 20:11:42,105,32.8,31.10,71.82,0.0,0.88,14.75
01/07/2023 20:11:43,110,31.5,29.32,83.66,0.0,0.88,14.75
01/07/2023 20:11:43,115,28.7,29.33,76.37,0.0,0.88,14.75
01/07/2023 20:11:43,120,26.7,28.91,71.73,0.0,1.02,26.60
