TimeStamp,SimulationTime,AvgWaitingTime,StdWaitingTime,AvgTrafficWaitingTime,AvgEmergencyWaitingTime,AvgTrafficLen,AvgPedestrianWaitingTime
01/07/2023 20:52:57,0,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 20:52:57,5,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 20:52:57,10,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 20:52:57,15,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 20:52:57,20,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 20:52:57,25,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 20:52:57,30,0.0,0.00,0.00,0.0,0.75,6.50
01/07/2023 20:52:57,35,0.0,0.00,0.00,0.0,0.75,6.50
01/07/2023 20:52:57,40,4.5,8.31,4.59,0.0,0.75,6.50
01/07/2023 20:52:57,45,4.5,8.31,4.59,0.0,0.75,6.50
01/07/2023 20:52:57,50,4.1,8.02,4.17,0.0,0.75,6.50
01/07/2023 20:52:57,55,4.1,8.02,4.17,0.0,0.75,6.50
01/07/2023 20:52:57,60,3.5,7.53,3.53,0.0,1.06,6.50
01/07/2023 20:52:57,65,3.5,7.53,3.53,0.0,1.06,3.25
01/07/2023 20:52:57,70,14.7,18.24,21.43,0.0,1.06,3.25
01/07/2023 20:52:58,75,14.6,17.83,22.70,12.3,1.06,3.25
01/07/2023 20:52:58,80,13.9,17.69,21.71,12.3,1.06,3.25
01/07/2023 20:52:58,85,13.9,17.69,21.71,12.3,1.06,3.25
01/07/2023 20:52:58,90,13.9,17.69,21.71,12.3,1.23,16.55
01/07/2023 20:52:58,95,21.2,26.28,28.08,48.5,1.23,16.55
01/07/2023 20:52:58,100,21.6,24.30,33.25,48.5,1.23,11.03
01/07/2023 20:52:58,105,20.6,23.92,32.52,48.5,1.23,11.03
01/07/2023 20:52:58,110,19.0,23.60,29.91,48.5,1.23,11.03
01/07/2023 20:52:58,115,18.5,23.49,29.12,48.5,1.23,11.03
01/07/2023 20:52:58,120,18.5,23.49,29.12,48.5,1.23,17.90
01/07/2023 20:52:58,125,22.5,27.50,32.40,48.5,1.23,17.90
01/07/2023 20:52:58,130,25.2,28.50,40.78,48.5,1.23,17.90
01/07/2023 20:52:58,135,26.0,27.96,46.84,48.5,1.23,17.90
01/07/2023 20:52:58,140,26.0,27.96,46.84,48.5,1.23,17.90
01/07/2023 20:52:58,145,26.0,27.96,46.84,48.5,1.23,17.90
01/07/2023 20:52:58,150,26.0,27.96,46.84,48.5,1.15,17.90
01/07/2023 20:52:58,155,26.4,27.76,46.44,48.5,1.15,17.90
01/07/2023 20:52:58,160,26.5,27.28,47.37,48.5,1.15,17.90
01/07/2023 20:52:58,165,26.5,27.28,47.37,48.5,1.15,17.90
01/07/2023 20:52:58,170,25.6,27.24,45.65,48.5,1.15,17.90
01/07/2023 20:52:58,175,25.6,27.24,45.65,48.5,1.15,17.90
01/07/2023 20:52:58,180,25.1,27.21,44.84,48.5,1.20,17.90
01/07/2023 20:52:58,185,26.0,28.12,45.00,48.5,1.20,17.90
