TimeStamp,SimulationTime,AvgWaitingTime,StdWaitingTime,AvgTrafficWaitingTime,AvgEmergencyWaitingTime,AvgTrafficLen,AvgPedestrianWaitingTime
01/07/2023 21:04:47,0,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 21:04:47,5,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 21:04:48,10,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 21:04:48,15,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 21:04:48,20,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 21:04:48,25,0.0,0.00,0.00,0.0,0.00,0.00
01/07/2023 21:04:48,30,0.0,0.00,0.00,0.0,0.42,0.00
01/07/2023 21:04:48,35,0.0,0.00,0.00,0.0,0.42,0.00
01/07/2023 21:04:48,40,9.1,7.88,15.60,0.0,0.42,0.00
01/07/2023 21:04:48,45,6.8,7.37,14.56,0.0,0.42,0.00
01/07/2023 21:04:48,50,6.3,7.32,13.52,0.0,0.42,0.00
01/07/2023 21:04:48,55,5.9,7.24,12.62,0.0,0.42,0.00
01/07/2023 21:04:48,60,5.9,7.24,12.62,0.0,0.69,24.30
01/07/2023 21:04:48,65,5.5,7.16,11.83,0.0,0.69,24.30
01/07/2023 21:04:48,70,4.7,6.87,9.96,0.0,0.69,24.30
01/07/2023 21:04:48,75,4.7,6.87,9.96,0.0,0.69,24.30
01/07/2023 21:04:48,80,4.7,6.87,9.96,0.0,0.69,24.30
01/07/2023 21:04:48,85,4.4,6.77,9.46,0.0,0.69,24.30
01/07/2023 21:04:48,90,4.4,6.77,9.46,0.0,0.96,44.45
01/07/2023 21:04:48,95,7.4,16.12,12.01,0.0,0.96,44.45
01/07/2023 21:04:48,100,11.1,20.53,21.77,0.0,0.96,44.45
01/07/2023 21:04:48,105,12.9,21.05,32.68,0.0,0.96,44.45
01/07/2023 21:04:48,110,14.2,20.68,47.59,0.0,0.96,44.45
01/07/2023 21:04:48,115,14.5,20.43,52.05,0.0,0.96,44.45
01/07/2023 21:04:48,120,14.0,20.27,50.52,0.0,1.10,44.45
01/07/2023 21:04:48,125,17.1,23.11,50.63,0.0,1.10,44.45
01/07/2023 21:04:48,130,17.5,23.04,50.20,0.0,1.10,44.45
01/07/2023 21:04:48,135,16.5,22.29,48.07,0.0,1.10,44.45
01/07/2023 21:04:48,140,16.5,22.29,48.07,0.0,1.10,44.45
01/07/2023 21:04:48,145,16.5,22.29,48.07,0.0,1.10,29.63
01/07/2023 21:04:48,150,16.5,22.29,48.07,0.0,1.15,29.63
01/07/2023 21:04:48,155,18.1,24.51,48.98,0.0,1.15,29.63
01/07/2023 21:04:48,160,22.1,28.53,61.18,0.0,1.15,29.63
01/07/2023 21:04:48,165,23.7,29.61,72.90,0.0,1.15,29.63
01/07/2023 21:04:48,170,24.7,29.22,86.34,35.7,1.15,29.63
01/07/2023 21:04:48,175,23.7,28.55,89.62,35.7,1.15,29.63
01/07/2023 21:04:48,180,23.4,28.24,90.50,35.7,1.14,42.67
01/07/2023 21:04:48,185,23.6,28.08,89.67,35.7,1.14,42.67
01/07/2023 21:04:48,190,22.9,27.94,86.91,35.7,1.14,42.67
01/07/2023 21:04:49,195,22.5,27.87,85.59,35.7,1.14,42.67
01/07/2023 21:04:49,200,22.2,27.80,84.31,35.7,1.14,42.67
01/07/2023 21:04:49,205,22.2,27.80,84.31,35.7,1.14,42.67
01/07/2023 21:04:49,210,21.9,27.72,83.08,35.7,1.17,42.67
01/07/2023 21:04:49,215,22.9,28.70,83.18,35.7,1.17,42.67
01/07/2023 21:04:49,220,23.8,29.54,84.47,35.7,1.17,42.67
01/07/2023 21:04:49,225,24.7,30.03,87.33,17.9,1.17,42.67
01/07/2023 21:04:49,230,25.5,29.90,94.39,17.9,1.17,42.67
01/07/2023 21:04:49,235,25.6,29.55,98.02,17.9,1.17,42.67
01/07/2023 21:04:49,240,25.0,29.45,95.60,17.9,1.19,42.67
01/07/2023 21:04:49,245,25.3,29.49,94.19,17.9,1.19,42.67
01/07/2023 21:04:49,250,25.3,29.17,93.08,25.5,1.19,42.67
01/07/2023 21:04:49,255,24.6,28.90,90.75,19.1,1.19,42.67
01/07/2023 21:04:49,260,23.8,28.76,87.79,19.1,1.19,42.67
01/07/2023 21:04:49,265,23.8,28.76,87.79,19.1,1.19,42.67
01/07/2023 21:04:49,270,23.3,28.66,85.92,19.1,1.23,42.67
01/07/2023 21:04:49,275,24.4,29.59,84.57,19.1,1.23,42.67
01/07/2023 21:04:49,280,24.8,29.67,84.34,19.1,1.23,42.67
01/07/2023 21:04:49,285,24.6,29.35,83.46,19.1,1.23,42.67
01/07/2023 21:04:49,290,24.2,29.00,82.66,19.1,1.23,42.67
01/07/2023 21:04:49,295,23.6,28.80,81.28,19.1,1.23,42.67
01/07/2023 21:04:49,300,23.6,28.80,81.28,19.1,1.20,42.67
01/07/2023 21:04:49,305,23.6,28.80,81.28,19.1,1.20,42.67
01/07/2023 21:04:49,310,24.1,28.82,80.98,19.1,1.20,42.67
01/07/2023 21:04:49,315,23.9,28.79,80.27,19.1,1.20,42.67
01/07/2023 21:04:49,320,23.7,28.75,79.58,19.1,1.20,42.67
